strategy,n_clients,backend,client_bool,client_num,metric,metric_value,timestamp,round
FedAvg,5,jax,False,1,cpu_utilization_fit,86.1,2023-11-26 13:05:40,1
FedAvg,5,jax,False,1,cpu_utilization_evaluate,77.1,2023-11-26 13:06:57,1
FedAvg,5,jax,False,1,cpu_utilization_fit,87.2,2023-11-26 13:07:48,2
FedAvg,5,jax,False,1,cpu_utilization_evaluate,76.5,2023-11-26 13:09:21,2
FedAvg,5,jax,False,1,cpu_utilization_fit,87.2,2023-11-26 13:10:12,3
FedAvg,5,jax,False,1,cpu_utilization_evaluate,99.2,2023-11-26 13:11:37,3
FedAvg,5,jax,False,1,cpu_utilization_fit,87.1,2023-11-26 13:12:37,4
FedAvg,5,jax,False,1,cpu_utilization_evaluate,76.3,2023-11-26 13:13:53,4
FedAvg,5,jax,False,1,cpu_utilization_fit,87.2,2023-11-26 13:14:43,5
FedAvg,5,jax,False,1,cpu_utilization_evaluate,99.1,2023-11-26 13:15:50,5
FedAvg,5,jax,False,1,cpu_utilization_fit,87.2,2023-11-26 13:16:50,6
FedAvg,5,jax,False,1,cpu_utilization_evaluate,75.1,2023-11-26 13:18:24,6
FedAvg,5,jax,False,1,cpu_utilization_fit,87.0,2023-11-26 13:19:14,7
FedAvg,5,jax,False,1,cpu_utilization_evaluate,99.0,2023-11-26 13:20:39,7
FedAvg,5,jax,False,1,cpu_utilization_fit,87.0,2023-11-26 13:21:39,8
FedAvg,5,jax,False,1,cpu_utilization_evaluate,75.4,2023-11-26 13:22:55,8
FedAvg,5,jax,False,1,cpu_utilization_fit,87.1,2023-11-26 13:23:45,9
FedAvg,5,jax,False,1,cpu_utilization_evaluate,74.6,2023-11-26 13:25:20,9
FedAvg,5,jax,False,1,cpu_utilization_fit,87.1,2023-11-26 13:26:11,10
FedAvg,5,jax,False,1,cpu_utilization_evaluate,99.2,2023-11-26 13:27:36,10
FedAvg,5,jax,False,2,cpu_utilization_fit,86.4,2023-11-26 13:05:40,1
FedAvg,5,jax,False,2,cpu_utilization_evaluate,77.0,2023-11-26 13:06:57,1
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:07:48,2
FedAvg,5,jax,False,2,cpu_utilization_evaluate,99.1,2023-11-26 13:09:12,2
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:10:12,3
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.6,2023-11-26 13:11:46,3
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:12:37,4
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.3,2023-11-26 13:13:53,4
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:14:43,5
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.4,2023-11-26 13:15:59,5
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:16:50,6
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.4,2023-11-26 13:18:24,6
FedAvg,5,jax,False,2,cpu_utilization_fit,87.0,2023-11-26 13:19:15,7
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.7,2023-11-26 13:20:49,7
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:21:40,8
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.2,2023-11-26 13:22:55,8
FedAvg,5,jax,False,2,cpu_utilization_fit,87.0,2023-11-26 13:23:46,9
FedAvg,5,jax,False,2,cpu_utilization_evaluate,76.3,2023-11-26 13:25:21,9
FedAvg,5,jax,False,2,cpu_utilization_fit,87.1,2023-11-26 13:26:11,10
FedAvg,5,jax,False,2,cpu_utilization_evaluate,99.1,2023-11-26 13:27:37,10
FedAvg,5,jax,False,3,cpu_utilization_fit,86.0,2023-11-26 13:05:51,1
FedAvg,5,jax,False,3,cpu_utilization_evaluate,77.3,2023-11-26 13:06:57,1
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:07:58,2
FedAvg,5,jax,False,3,cpu_utilization_evaluate,99.1,2023-11-26 13:09:12,2
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:10:22,3
FedAvg,5,jax,False,3,cpu_utilization_evaluate,99.1,2023-11-26 13:11:37,3
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:12:47,4
FedAvg,5,jax,False,3,cpu_utilization_evaluate,99.2,2023-11-26 13:13:43,4
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:14:54,5
FedAvg,5,jax,False,3,cpu_utilization_evaluate,76.7,2023-11-26 13:15:59,5
FedAvg,5,jax,False,3,cpu_utilization_fit,87.2,2023-11-26 13:17:00,6
FedAvg,5,jax,False,3,cpu_utilization_evaluate,76.1,2023-11-26 13:18:24,6
FedAvg,5,jax,False,3,cpu_utilization_fit,87.2,2023-11-26 13:19:25,7
FedAvg,5,jax,False,3,cpu_utilization_evaluate,76.6,2023-11-26 13:20:49,7
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:21:50,8
FedAvg,5,jax,False,3,cpu_utilization_evaluate,75.4,2023-11-26 13:22:55,8
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:23:57,9
FedAvg,5,jax,False,3,cpu_utilization_evaluate,74.9,2023-11-26 13:25:21,9
FedAvg,5,jax,False,3,cpu_utilization_fit,87.3,2023-11-26 13:26:22,10
FedAvg,5,jax,False,3,cpu_utilization_evaluate,76.5,2023-11-26 13:27:46,10
FedAvg,5,jax,False,4,cpu_utilization_fit,86.4,2023-11-26 13:05:40,1
FedAvg,5,jax,False,4,cpu_utilization_evaluate,98.5,2023-11-26 13:06:48,1
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:07:49,2
FedAvg,5,jax,False,4,cpu_utilization_evaluate,99.2,2023-11-26 13:09:12,2
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:10:13,3
FedAvg,5,jax,False,4,cpu_utilization_evaluate,76.8,2023-11-26 13:11:46,3
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:12:38,4
FedAvg,5,jax,False,4,cpu_utilization_evaluate,77.3,2023-11-26 13:13:53,4
FedAvg,5,jax,False,4,cpu_utilization_fit,87.1,2023-11-26 13:14:44,5
FedAvg,5,jax,False,4,cpu_utilization_evaluate,99.0,2023-11-26 13:15:50,5
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:16:51,6
FedAvg,5,jax,False,4,cpu_utilization_evaluate,77.2,2023-11-26 13:18:24,6
FedAvg,5,jax,False,4,cpu_utilization_fit,87.3,2023-11-26 13:19:16,7
FedAvg,5,jax,False,4,cpu_utilization_evaluate,75.6,2023-11-26 13:20:49,7
FedAvg,5,jax,False,4,cpu_utilization_fit,87.1,2023-11-26 13:21:41,8
FedAvg,5,jax,False,4,cpu_utilization_evaluate,99.0,2023-11-26 13:22:46,8
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:23:47,9
FedAvg,5,jax,False,4,cpu_utilization_evaluate,99.0,2023-11-26 13:25:11,9
FedAvg,5,jax,False,4,cpu_utilization_fit,87.2,2023-11-26 13:26:13,10
FedAvg,5,jax,False,4,cpu_utilization_evaluate,99.2,2023-11-26 13:27:36,10
FedAvg,5,jax,False,,fit_progress_round_1, 1.8242485523223877, 239.844680562,1
FedAvg,5,jax,False,,fit_progress_round_1,0.38055557012557983, 239.844680562,1
FedAvg,5,jax,False,,fit_progress_round_2, 1.233691692352295, 384.83146355799994,2
FedAvg,5,jax,False,,fit_progress_round_2,0.4888888895511627, 384.83146355799994,2
FedAvg,5,jax,False,,fit_progress_round_3, 0.8828120231628418, 529.40395717,3
FedAvg,5,jax,False,,fit_progress_round_3,0.5527777671813965, 529.40395717,3
FedAvg,5,jax,False,,fit_progress_round_4, 0.7274227142333984, 655.7234124409999,4
FedAvg,5,jax,False,,fit_progress_round_4,0.5991666913032532, 655.7234124409999,4
FedAvg,5,jax,False,,fit_progress_round_5, 0.6493369936943054, 782.4810820990001,5
FedAvg,5,jax,False,,fit_progress_round_5,0.6321759223937988, 782.4810820990001,5
FedAvg,5,jax,False,,fit_progress_round_6, 0.6482418179512024, 927.365644152,6
FedAvg,5,jax,False,,fit_progress_round_6,0.6579365134239197, 927.365644152,6
FedAvg,5,jax,False,,fit_progress_round_7, 0.557839572429657, 1072.362444656,7
