jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:44,074 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,079 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,083 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,083 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,284 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,295 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,295 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,324 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,324 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,325 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,325 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:52:06,639 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 6, 639086), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:52:06,639 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 52, 6, 639086), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:30,500 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 30, 500641), 'cpu_utilization': 77.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:30,500 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 30, 500641), 'cpu_utilization': 77.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:54:31,773 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 31, 773795), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:54:31,773 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 31, 773795), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:55:55,677 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 55, 676962), 'cpu_utilization': 76.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:55:55,677 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 55, 676962), 'cpu_utilization': 76.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:56:56,793 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 56, 793537), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:56:56,793 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 56, 793537), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:58:11,427 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 11, 426828), 'cpu_utilization': 99.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:58:11,427 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 11, 426828), 'cpu_utilization': 99.1}
