jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,898 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:45,899 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:45,900 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:46,106 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:56,119 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:56,119 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:56,144 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:56,144 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:56,147 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:56,147 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:24:57,479 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 24, 57, 479489), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:24:57,479 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 24, 57, 479489), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:27:15,323 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 27, 15, 323793), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:27:15,323 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 27, 15, 323793), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:28:17,275 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 28, 17, 275127), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:28:17,275 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 28, 17, 275127), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:29:27,331 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 29, 27, 331048), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:29:27,331 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 29, 27, 331048), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:31:11,339 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 31, 11, 339748), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:31:11,339 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 31, 11, 339748), 'cpu_utilization': 87.3}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:32:24,894 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 32, 24, 893931), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:32:24,894 | client.py:104 | Instance i-07268b068b5409202 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 32, 24, 893931), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:33:28,256 | client.py:82 | Instance i-07268b068b5409202 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 33, 28, 256808), 'cpu_utilization': 87.3}
