jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,969 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:45,974 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:45,978 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:23:45,985 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:25:29,413 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 25, 29, 388641), 'cpu_utilization': 86.9}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:26:42,453 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 26, 42, 453475), 'cpu_utilization': 99.2}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:27:46,791 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 27, 46, 791401), 'cpu_utilization': 87.2}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:30:09,472 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 30, 9, 472609), 'cpu_utilization': 73.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:31:11,571 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 31, 11, 571494), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:32:56,441 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 32, 56, 441583), 'cpu_utilization': 99.2}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:33:28,562 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 33, 28, 562170), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:35:23,019 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 35, 23, 19261), 'cpu_utilization': 73.8}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:36:36,356 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 36, 36, 356130), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:38:30,827 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 38, 30, 826884), 'cpu_utilization': 75.9}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:39:35,383 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 39, 35, 383467), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:41:32,665 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 41, 32, 665729), 'cpu_utilization': 99.2}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:42:35,406 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 42, 35, 406163), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:43:49,665 | client.py:104 | Instance i-0e4adc680a501420f : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 43, 49, 665578), 'cpu_utilization': 99.1}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:44:54,152 | client.py:82 | Instance i-0e4adc680a501420f : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 44, 54, 152637), 'cpu_utilization': 87.1}
