jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,935 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,938 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,938 | server.py:89 | Initializing global parameters
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,938 | server.py:272 | Using initial parameters provided by strategy
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:23:45,938 | server.py:91 | Evaluating initial parameters
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:24:27,203 | server.py:94 | initial parameters (loss, other metrics): 2.341738224029541, {'accuracy': 0.5777778029441833}
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:24:27,203 | server.py:104 | FL starting
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:24:27,211 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:25:30,231 | server.py:236 | fit_round 1 received 8 results and 0 failures
jax-FedAdaGrad-run | WARNING flwr 2023-12-02 11:25:30,463 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:26:11,718 | server.py:125 | fit progress: (1, 26552.6328125, {'accuracy': 0.5568286776542664}, 104.51446609100003)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:26:11,718 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:27:16,381 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
jax-FedAdaGrad-run | WARNING flwr 2023-12-02 11:27:16,381 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:27:16,382 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:28:33,489 | server.py:236 | fit_round 2 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:28:56,243 | server.py:125 | fit progress: (2, 73403.8828125, {'accuracy': 0.5366666913032532}, 269.0397798180006)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:28:56,248 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:30:10,123 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:30:10,123 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:31:12,454 | server.py:236 | fit_round 3 received 8 results and 0 failures
jax-FedAdaGrad-run | INFO flwr 2023-12-02 11:31:53,932 | server.py:125 | fit progress: (3, 131911.1875, {'accuracy': 0.5179487466812134}, 446.7283311599999)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:31:53,932 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:32:58,033 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:32:58,034 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
jax-FedAdaGrad-run | DEBUG flwr 2023-12-02 11:34:00,272 | server.py:236 | fit_round 4 received 8 results and 0 failures
