jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:44,058 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,060 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,060 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,262 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,274 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,274 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,302 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,302 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,304 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,304 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:51:55,979 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 55, 979674), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:51:55,979 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 55, 979674), 'cpu_utilization': 87.1}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:21,615 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 21, 614836), 'cpu_utilization': 98.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:21,615 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 21, 614836), 'cpu_utilization': 98.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:54:21,124 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 21, 124030), 'cpu_utilization': 87.0}
