jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:44,028 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,030 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,031 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,052 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:44,254 | connection.py:139 | gRPC channel closed
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,263 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:50:54,263 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,291 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,291 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,292 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | DEBUG flwr 2023-11-26 13:50:54,292 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:51:55,319 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 55, 319153), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:51:55,319 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 51, 55, 319153), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:30,620 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 30, 620630), 'cpu_utilization': 75.4}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:53:30,620 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 53, 30, 620630), 'cpu_utilization': 75.4}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:54:20,347 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 20, 347037), 'cpu_utilization': 86.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:54:20,347 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 54, 20, 347037), 'cpu_utilization': 86.9}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:55:45,767 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 45, 767497), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:55:45,767 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 55, 45, 767497), 'cpu_utilization': 99.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:56:45,827 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 45, 826852), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:56:45,827 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 56, 45, 826852), 'cpu_utilization': 87.0}
jax-FedAdaGrad-run | INFO flwr 2023-11-26 13:58:20,784 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 58, 20, 784197), 'cpu_utilization': 73.9}
