jax-FedAdam-run | INFO flwr 2023-12-01 22:06:26,661 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:06:26,689 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:06:26,690 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-01 22:09:05,160 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 9, 5, 160656), 'cpu_utilization': 86.8}
jax-FedAdam-run | INFO flwr 2023-12-01 22:10:11,231 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 10, 11, 231750), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:12:18,194 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 12, 18, 193885), 'cpu_utilization': 86.8}
jax-FedAdam-run | INFO flwr 2023-12-01 22:13:24,969 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 13, 24, 969295), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:15:34,112 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 15, 34, 111941), 'cpu_utilization': 86.8}
jax-FedAdam-run | INFO flwr 2023-12-01 22:16:38,898 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 16, 38, 898362), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:18:48,216 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 18, 48, 216610), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:20:02,350 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 20, 2, 350247), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:22:10,551 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 22, 10, 551639), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:23:34,014 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 23, 34, 14108), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:25:44,581 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 25, 44, 581357), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:26:39,400 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 26, 39, 400507), 'cpu_utilization': 99.1}
jax-FedAdam-run | INFO flwr 2023-12-01 22:28:50,211 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 28, 50, 210941), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:29:54,998 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 29, 54, 997957), 'cpu_utilization': 76.3}
jax-FedAdam-run | INFO flwr 2023-12-01 22:32:04,564 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 32, 4, 563957), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:33:28,109 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 33, 28, 109094), 'cpu_utilization': 77.1}
jax-FedAdam-run | INFO flwr 2023-12-01 22:35:37,589 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 35, 37, 589131), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-01 22:36:42,316 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 36, 42, 316264), 'cpu_utilization': 76.8}
jax-FedAdam-run | INFO flwr 2023-12-01 22:38:50,917 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 38, 50, 917573), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:14,517 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 40, 14, 517746), 'cpu_utilization': 76.7}
jax-FedAdam-run | DEBUG flwr 2023-12-01 22:40:15,788 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-01 22:40:15,788 | app.py:215 | Disconnect and shut down
