jax-FedAdam-run | INFO flwr 2023-12-02 11:52:37,605 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,607 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,607 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,622 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,826 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,838 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,838 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,866 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,866 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,868 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,868 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-02 11:53:49,689 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 53, 49, 654940), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:53:49,689 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 53, 49, 654940), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:08,313 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 8, 312927), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:08,313 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 8, 312927), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,153 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 152829), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,153 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 152829), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:38,984 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 38, 984591), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:38,984 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 38, 984591), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:51,824 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 51, 824032), 'cpu_utilization': 87.1}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:51,824 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 51, 824032), 'cpu_utilization': 87.1}
jax-FedAdam-run | INFO flwr 2023-12-02 12:01:37,899 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 1, 37, 899585), 'cpu_utilization': 99.0}
jax-FedAdam-run | INFO flwr 2023-12-02 12:01:37,899 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 1, 37, 899585), 'cpu_utilization': 99.0}
jax-FedAdam-run | INFO flwr 2023-12-02 12:02:50,769 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 2, 50, 769107), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-12-02 12:02:50,769 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 2, 50, 769107), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-12-02 12:04:26,558 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 4, 26, 558682), 'cpu_utilization': 76.8}
jax-FedAdam-run | INFO flwr 2023-12-02 12:04:26,558 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 4, 26, 558682), 'cpu_utilization': 76.8}
