jax-FedAdam-run | INFO flwr 2023-12-02 11:52:37,603 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,605 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,605 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,833 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,848 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,848 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,879 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,879 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,880 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,880 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-02 11:54:21,012 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 54, 21, 12441), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-02 11:54:21,012 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 54, 21, 12441), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-02 11:55:45,069 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 55, 45, 68919), 'cpu_utilization': 73.1}
jax-FedAdam-run | INFO flwr 2023-12-02 11:55:45,069 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 55, 45, 68919), 'cpu_utilization': 73.1}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,393 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 392923), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,393 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 392923), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:38,960 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 38, 960129), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:38,960 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 38, 960129), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:52,474 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 52, 474679), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:52,474 | client.py:82 | Instance i-089816ab56712f7f4 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 52, 474679), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 12:01:38,405 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 1, 38, 405568), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 12:01:38,405 | client.py:104 | Instance i-089816ab56712f7f4 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 1, 38, 405568), 'cpu_utilization': 98.9}
