jax-FedAdam-run | INFO flwr 2023-12-02 11:52:37,623 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,628 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,632 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,835 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,846 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,846 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,877 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,877 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,878 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,878 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-02 11:54:04,238 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 54, 4, 238495), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-12-02 11:54:04,238 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 54, 4, 238495), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-12-02 11:55:35,611 | client.py:104 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 55, 35, 611597), 'cpu_utilization': 98.8}
jax-FedAdam-run | INFO flwr 2023-12-02 11:55:35,611 | client.py:104 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 55, 35, 611597), 'cpu_utilization': 98.8}
jax-FedAdam-run | INFO flwr 2023-12-02 11:57:24,116 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 57, 24, 116634), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 11:57:24,116 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 57, 24, 116634), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:39,101 | client.py:104 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 39, 100862), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:39,101 | client.py:104 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 39, 100862), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 12:00:06,212 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 0, 6, 212366), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 12:00:06,212 | client.py:82 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 0, 6, 212366), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 12:02:19,211 | client.py:104 | Instance i-0a2e2f1f35fa42e83 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 2, 19, 211681), 'cpu_utilization': 76.3}
