jax-FedAdam-run | INFO flwr 2023-12-02 11:52:37,670 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,674 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,675 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,676 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-02 11:53:50,051 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 53, 50, 51073), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-12-02 11:55:35,410 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 55, 35, 410330), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:57:11,562 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 57, 11, 562371), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 11:58:48,208 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 58, 48, 208045), 'cpu_utilization': 75.6}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:52,244 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 52, 244210), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-12-02 12:02:19,340 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 2, 19, 340593), 'cpu_utilization': 76.0}
jax-FedAdam-run | INFO flwr 2023-12-02 12:02:51,371 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 2, 51, 371564), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 12:04:49,533 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 4, 49, 533641), 'cpu_utilization': 98.8}
jax-FedAdam-run | INFO flwr 2023-12-02 12:05:30,795 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 5, 30, 795125), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-12-02 12:07:20,264 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 7, 20, 264397), 'cpu_utilization': 76.1}
jax-FedAdam-run | INFO flwr 2023-12-02 12:08:24,119 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 8, 24, 119295), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 12:10:19,394 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 10, 19, 394624), 'cpu_utilization': 73.4}
jax-FedAdam-run | INFO flwr 2023-12-02 12:12:02,552 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 12, 2, 551876), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 12:13:07,526 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 13, 7, 526646), 'cpu_utilization': 76.8}
jax-FedAdam-run | INFO flwr 2023-12-02 12:14:10,945 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 14, 10, 945294), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 12:16:04,921 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 16, 4, 921213), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-12-02 12:17:09,783 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 17, 9, 783013), 'cpu_utilization': 87.5}
jax-FedAdam-run | INFO flwr 2023-12-02 12:19:03,986 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 19, 3, 986095), 'cpu_utilization': 75.0}
jax-FedAdam-run | INFO flwr 2023-12-02 12:20:30,328 | client.py:82 | Instance i-0cbe667cd4e75913b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 20, 30, 327949), 'cpu_utilization': 87.4}
jax-FedAdam-run | INFO flwr 2023-12-02 12:22:26,651 | client.py:104 | Instance i-0cbe667cd4e75913b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 12, 22, 26, 651722), 'cpu_utilization': 76.4}
jax-FedAdam-run | DEBUG flwr 2023-12-02 12:22:27,766 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-02 12:22:27,766 | app.py:215 | Disconnect and shut down
