jax-FedAdam-run | INFO flwr 2023-12-02 11:52:37,618 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,620 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,620 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,637 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:37,839 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,854 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | INFO flwr 2023-12-02 11:52:47,854 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,882 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,882 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,883 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,883 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,890 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | DEBUG flwr 2023-12-02 11:52:47,890 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-12-02 11:53:49,606 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 53, 49, 605877), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:53:49,606 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 53, 49, 605877), 'cpu_utilization': 86.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:07,944 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 7, 944255), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:07,944 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 7, 944255), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,530 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 530632), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-12-02 11:56:39,530 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 56, 39, 530632), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:19,548 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 19, 548431), 'cpu_utilization': 77.3}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:19,548 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 19, 548431), 'cpu_utilization': 77.3}
jax-FedAdam-run | INFO flwr 2023-12-02 11:59:52,223 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 59, 52, 223195), 'cpu_utilization': 87.3}
