jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,725 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:14:40,727 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:14:40,727 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-11-26 14:16:11,179 | client.py:82 | Instance i-00dd60b0952d6b1b9 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 16, 11, 179182), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:17:36,574 | client.py:104 | Instance i-00dd60b0952d6b1b9 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 17, 36, 574269), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-11-26 14:18:35,920 | client.py:82 | Instance i-00dd60b0952d6b1b9 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 18, 35, 920255), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:20:00,929 | client.py:104 | Instance i-00dd60b0952d6b1b9 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 20, 0, 929550), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-11-26 14:21:00,633 | client.py:82 | Instance i-00dd60b0952d6b1b9 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 21, 0, 633273), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-11-26 14:22:06,415 | client.py:104 | Instance i-00dd60b0952d6b1b9 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 22, 6, 415172), 'cpu_utilization': 99.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:23:05,611 | client.py:82 | Instance i-00dd60b0952d6b1b9 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 23, 5, 611275), 'cpu_utilization': 87.1}
jax-FedAdam-run | INFO flwr 2023-11-26 14:24:40,436 | client.py:104 | Instance i-00dd60b0952d6b1b9 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 24, 40, 436128), 'cpu_utilization': 76.7}
jax-FedAdam-run | INFO flwr 2023-11-26 14:25:30,842 | client.py:82 | Instance i-00dd60b0952d6b1b9 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 25, 30, 842586), 'cpu_utilization': 87.1}
