jax-FedAdam-run | INFO flwr 2023-11-26 14:14:50,636 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:14:50,663 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:14:50,665 | connection.py:42 | ChannelConnectivity.READY
jax-FedAdam-run | INFO flwr 2023-11-26 14:16:10,995 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 16, 10, 995075), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:17:36,422 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 17, 36, 422581), 'cpu_utilization': 98.8}
jax-FedAdam-run | INFO flwr 2023-11-26 14:18:35,998 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 18, 35, 998473), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-11-26 14:20:00,665 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 20, 0, 665688), 'cpu_utilization': 99.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:21:00,627 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 21, 0, 627012), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-11-26 14:22:06,599 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 22, 6, 599217), 'cpu_utilization': 99.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:23:05,887 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 23, 5, 887071), 'cpu_utilization': 87.3}
jax-FedAdam-run | INFO flwr 2023-11-26 14:24:40,294 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 24, 40, 294290), 'cpu_utilization': 76.4}
jax-FedAdam-run | INFO flwr 2023-11-26 14:25:30,745 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 25, 30, 745236), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-11-26 14:27:04,800 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 27, 4, 799844), 'cpu_utilization': 76.8}
jax-FedAdam-run | INFO flwr 2023-11-26 14:27:55,189 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 27, 55, 189166), 'cpu_utilization': 87.2}
jax-FedAdam-run | INFO flwr 2023-11-26 14:29:01,171 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 29, 1, 171514), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-11-26 14:29:51,524 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 29, 51, 524507), 'cpu_utilization': 87.1}
jax-FedAdam-run | INFO flwr 2023-11-26 14:31:06,729 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 31, 6, 729014), 'cpu_utilization': 76.7}
jax-FedAdam-run | INFO flwr 2023-11-26 14:31:56,686 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 31, 56, 685888), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:33:30,667 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 33, 30, 667348), 'cpu_utilization': 76.9}
jax-FedAdam-run | INFO flwr 2023-11-26 14:34:21,374 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 34, 21, 373940), 'cpu_utilization': 87.0}
jax-FedAdam-run | INFO flwr 2023-11-26 14:35:46,649 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 35, 46, 649488), 'cpu_utilization': 98.9}
jax-FedAdam-run | INFO flwr 2023-11-26 14:36:45,865 | client.py:82 | Instance i-04834531a10f9a04c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 36, 45, 865065), 'cpu_utilization': 87.1}
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,034 | client.py:104 | Instance i-04834531a10f9a04c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 14, 38, 1, 33832), 'cpu_utilization': 76.5}
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:38:01,923 | connection.py:139 | gRPC channel closed
jax-FedAdam-run | INFO flwr 2023-11-26 14:38:01,926 | app.py:215 | Disconnect and shut down
