jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,662 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,667 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,670 | server.py:89 | Initializing global parameters
jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,673 | server.py:272 | Using initial parameters provided by strategy
jax-FedAdam-run | INFO flwr 2023-11-26 14:14:40,677 | server.py:91 | Evaluating initial parameters
jax-FedAdam-run | INFO flwr 2023-11-26 14:15:21,925 | server.py:94 | initial parameters (loss, other metrics): 2.3083078861236572, {'accuracy': 0.5057189464569092}
jax-FedAdam-run | INFO flwr 2023-11-26 14:15:21,925 | server.py:104 | FL starting
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:15:21,926 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:16:22,977 | server.py:236 | fit_round 1 received 5 results and 0 failures
jax-FedAdam-run | WARNING flwr 2023-11-26 14:16:23,129 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
jax-FedAdam-run | INFO flwr 2023-11-26 14:17:04,384 | server.py:125 | fit progress: (1, 163697.984375, {'accuracy': 0.49317461252212524}, 102.45894658699945)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:17:04,385 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:17:46,812 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
jax-FedAdam-run | WARNING flwr 2023-11-26 14:17:46,812 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:17:46,813 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:18:47,593 | server.py:236 | fit_round 2 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:19:28,979 | server.py:125 | fit progress: (2, 5963208.5, {'accuracy': 0.4813271462917328}, 247.0540501329997)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:19:28,980 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:20:11,540 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:20:11,540 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:21:12,412 | server.py:236 | fit_round 3 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:21:34,430 | server.py:125 | fit progress: (3, 45572996.0, {'accuracy': 0.4701201319694519}, 372.5045922949994)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:21:34,430 | server.py:173 | evaluate_round 3: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:22:16,746 | server.py:187 | evaluate_round 3 received 5 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:22:16,746 | server.py:222 | fit_round 4: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:23:17,838 | server.py:236 | fit_round 4 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:23:59,197 | server.py:125 | fit progress: (4, 185005408.0, {'accuracy': 0.4595029354095459}, 517.2713631489996)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:23:59,197 | server.py:173 | evaluate_round 4: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:24:41,654 | server.py:187 | evaluate_round 4 received 5 results and 0 failures
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:24:41,654 | server.py:222 | fit_round 5: strategy sampled 5 clients (out of 5)
jax-FedAdam-run | DEBUG flwr 2023-11-26 14:25:42,119 | server.py:236 | fit_round 5 received 5 results and 0 failures
jax-FedAdam-run | INFO flwr 2023-11-26 14:26:23,488 | server.py:125 | fit progress: (5, 508538688.0, {'accuracy': 0.4494301974773407}, 661.5629194769999)
