jax-FedAvg-run | INFO flwr 2023-12-01 20:23:39,409 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:23:39,429 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:23:39,430 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvg-run | INFO flwr 2023-12-01 20:25:51,868 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 25, 51, 868683), 'cpu_utilization': 86.3}
jax-FedAvg-run | INFO flwr 2023-12-01 20:26:48,822 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 26, 48, 822271), 'cpu_utilization': 98.6}
jax-FedAvg-run | INFO flwr 2023-12-01 20:28:58,046 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 28, 58, 46106), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-12-01 20:30:13,484 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 30, 13, 484019), 'cpu_utilization': 98.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:32:31,309 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 32, 31, 309598), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-12-01 20:33:26,321 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 33, 26, 321575), 'cpu_utilization': 99.2}
jax-FedAvg-run | INFO flwr 2023-12-01 20:35:43,156 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 35, 43, 156421), 'cpu_utilization': 86.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:36:59,912 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 36, 59, 912085), 'cpu_utilization': 99.1}
jax-FedAvg-run | INFO flwr 2023-12-01 20:39:07,480 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 39, 7, 480411), 'cpu_utilization': 86.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:40:32,923 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 40, 32, 923260), 'cpu_utilization': 76.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:42:40,724 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 42, 40, 724787), 'cpu_utilization': 86.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:44:04,582 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 44, 4, 582657), 'cpu_utilization': 75.6}
jax-FedAvg-run | INFO flwr 2023-12-01 20:46:13,472 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 46, 13, 351922), 'cpu_utilization': 86.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:47:08,766 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 47, 8, 766691), 'cpu_utilization': 99.2}
jax-FedAvg-run | INFO flwr 2023-12-01 20:49:25,529 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 25, 528893), 'cpu_utilization': 86.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:50:51,072 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 50, 51, 5767), 'cpu_utilization': 75.3}
jax-FedAvg-run | INFO flwr 2023-12-01 20:53:00,594 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 0, 594046), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-12-01 20:54:15,399 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 54, 15, 399408), 'cpu_utilization': 98.9}
jax-FedAvg-run | INFO flwr 2023-12-01 20:56:24,615 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 24, 615201), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-12-01 20:57:39,094 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 39, 94486), 'cpu_utilization': 99.1}
jax-FedAvg-run | DEBUG flwr 2023-12-01 20:57:49,338 | connection.py:139 | gRPC channel closed
jax-FedAvg-run | INFO flwr 2023-12-01 20:57:49,338 | app.py:215 | Disconnect and shut down
