jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,377 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,396 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,396 | server.py:89 | Initializing global parameters
jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,396 | server.py:272 | Using initial parameters provided by strategy
jax-FedAvg-run | INFO flwr 2023-12-02 10:21:50,396 | server.py:91 | Evaluating initial parameters
jax-FedAvg-run | INFO flwr 2023-12-02 10:22:13,150 | server.py:94 | initial parameters (loss, other metrics): 2.341738224029541, {'accuracy': 0.03611111268401146}
jax-FedAvg-run | INFO flwr 2023-12-02 10:22:13,151 | server.py:104 | FL starting
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:24:40,741 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:26:04,440 | server.py:236 | fit_round 1 received 8 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-12-02 10:26:04,679 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
jax-FedAvg-run | INFO flwr 2023-12-02 10:26:45,854 | server.py:125 | fit progress: (1, 2.1854119300842285, {'accuracy': 0.22847221791744232}, 272.698589447)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:26:45,855 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:28:00,965 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-12-02 10:28:00,965 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:28:00,966 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:29:04,713 | server.py:236 | fit_round 2 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:29:46,112 | server.py:125 | fit progress: (2, 1.8505135774612427, {'accuracy': 0.31203705072402954}, 452.95617335199995)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:29:46,112 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:30:50,948 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:30:50,948 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:31:53,205 | server.py:236 | fit_round 3 received 8 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-12-02 10:32:34,654 | server.py:125 | fit progress: (3, 1.4647762775421143, {'accuracy': 0.3791666626930237}, 621.4983991519999)
jax-FedAvg-run | DEBUG flwr 2023-12-02 10:32:34,654 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
