jax-FedAvg-run | INFO flwr 2023-11-26 13:04:38,399 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:38,417 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:38,417 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvg-run | INFO flwr 2023-11-26 13:05:40,231 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 5, 40, 231329), 'cpu_utilization': 86.4}
jax-FedAvg-run | INFO flwr 2023-11-26 13:06:57,128 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 6, 57, 128570), 'cpu_utilization': 77.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:07:48,206 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 7, 48, 206463), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:09:12,601 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 9, 12, 601768), 'cpu_utilization': 99.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:10:12,582 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 12, 582133), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:11:46,541 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 46, 541199), 'cpu_utilization': 76.6}
jax-FedAvg-run | INFO flwr 2023-11-26 13:12:37,391 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 37, 390908), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:13:53,073 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 53, 73570), 'cpu_utilization': 76.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:14:43,871 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 43, 871141), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:15:59,735 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 59, 735653), 'cpu_utilization': 76.4}
jax-FedAvg-run | INFO flwr 2023-11-26 13:16:50,678 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 50, 678637), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:18:24,603 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 24, 603349), 'cpu_utilization': 76.4}
jax-FedAvg-run | INFO flwr 2023-11-26 13:19:15,625 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 15, 625650), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:20:49,606 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 49, 605935), 'cpu_utilization': 76.7}
jax-FedAvg-run | INFO flwr 2023-11-26 13:21:40,516 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 40, 516726), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:22:55,889 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 55, 889707), 'cpu_utilization': 76.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:23:46,573 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 46, 573285), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:25:21,040 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 25, 21, 39848), 'cpu_utilization': 76.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:26:11,908 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 11, 908536), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:37,001 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 37, 1514), 'cpu_utilization': 99.1}
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:27:47,692 | connection.py:139 | gRPC channel closed
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:47,692 | app.py:215 | Disconnect and shut down
