jax-FedAvg-run | INFO flwr 2023-11-26 13:04:40,788 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:40,804 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:40,808 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:40,813 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvg-run | INFO flwr 2023-11-26 13:05:51,788 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 5, 51, 788017), 'cpu_utilization': 86.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:06:57,197 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 6, 57, 197043), 'cpu_utilization': 77.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:07:58,025 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 7, 58, 25349), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:09:12,716 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 9, 12, 716017), 'cpu_utilization': 99.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:10:22,771 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 22, 771752), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:11:37,240 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 37, 240040), 'cpu_utilization': 99.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:12:47,707 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 47, 707685), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:13:43,161 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 43, 160993), 'cpu_utilization': 99.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:14:54,345 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 54, 345754), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:15:59,562 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 59, 561817), 'cpu_utilization': 76.7}
jax-FedAvg-run | INFO flwr 2023-11-26 13:17:00,737 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 17, 0, 737678), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:18:24,676 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 24, 676735), 'cpu_utilization': 76.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:19:25,620 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 25, 620288), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:20:49,617 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 49, 617100), 'cpu_utilization': 76.6}
jax-FedAvg-run | INFO flwr 2023-11-26 13:21:50,824 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 50, 823877), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:22:55,653 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 55, 653165), 'cpu_utilization': 75.4}
jax-FedAvg-run | INFO flwr 2023-11-26 13:23:57,051 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 57, 51042), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:25:21,046 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 25, 21, 46686), 'cpu_utilization': 74.9}
jax-FedAvg-run | INFO flwr 2023-11-26 13:26:22,314 | client.py:82 | Instance i-092e36790e6beffcc : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 22, 314163), 'cpu_utilization': 87.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:46,379 | client.py:104 | Instance i-092e36790e6beffcc : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 46, 379015), 'cpu_utilization': 76.5}
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:27:47,705 | connection.py:139 | gRPC channel closed
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:47,705 | app.py:215 | Disconnect and shut down
