jax-FedAvg-run | INFO flwr 2023-11-26 13:04:47,820 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:47,840 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:47,840 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvg-run | INFO flwr 2023-11-26 13:05:40,320 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 5, 40, 320079), 'cpu_utilization': 86.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:06:57,243 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 6, 57, 243563), 'cpu_utilization': 77.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:07:48,125 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 7, 48, 125640), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:09:21,912 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 9, 21, 912175), 'cpu_utilization': 76.5}
jax-FedAvg-run | INFO flwr 2023-11-26 13:10:12,699 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 10, 12, 699647), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:11:37,349 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 11, 37, 349455), 'cpu_utilization': 99.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:12:37,063 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 12, 37, 63327), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:13:53,037 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 13, 53, 37669), 'cpu_utilization': 76.3}
jax-FedAvg-run | INFO flwr 2023-11-26 13:14:43,463 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 14, 43, 463281), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:15:50,331 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 15, 50, 331113), 'cpu_utilization': 99.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:16:50,571 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 16, 50, 524930), 'cpu_utilization': 87.2}
jax-FedAvg-run | INFO flwr 2023-11-26 13:18:24,667 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 18, 24, 667792), 'cpu_utilization': 75.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:19:14,501 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 19, 14, 500913), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:20:39,654 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 20, 39, 654724), 'cpu_utilization': 99.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:21:39,602 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 21, 39, 602129), 'cpu_utilization': 87.0}
jax-FedAvg-run | INFO flwr 2023-11-26 13:22:55,888 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 22, 55, 887875), 'cpu_utilization': 75.4}
jax-FedAvg-run | INFO flwr 2023-11-26 13:23:45,797 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 23, 45, 796972), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:25:20,980 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 25, 20, 980654), 'cpu_utilization': 74.6}
jax-FedAvg-run | INFO flwr 2023-11-26 13:26:11,134 | client.py:82 | Instance i-0b1b1a597730a5bcf : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 26, 11, 134527), 'cpu_utilization': 87.1}
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:36,350 | client.py:104 | Instance i-0b1b1a597730a5bcf : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 27, 36, 350273), 'cpu_utilization': 99.2}
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:27:47,701 | connection.py:139 | gRPC channel closed
jax-FedAvg-run | INFO flwr 2023-11-26 13:27:47,701 | app.py:215 | Disconnect and shut down
