jax-FedAvg-run | INFO flwr 2023-11-26 13:01:34,613 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvg-run | INFO flwr 2023-11-26 13:01:34,630 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAvg-run | INFO flwr 2023-11-26 13:01:34,631 | server.py:89 | Initializing global parameters
jax-FedAvg-run | INFO flwr 2023-11-26 13:01:34,631 | server.py:272 | Using initial parameters provided by strategy
jax-FedAvg-run | INFO flwr 2023-11-26 13:01:34,631 | server.py:91 | Evaluating initial parameters
jax-FedAvg-run | INFO flwr 2023-11-26 13:02:15,932 | server.py:94 | initial parameters (loss, other metrics): 2.3083078861236572, {'accuracy': 0.2569444477558136}
jax-FedAvg-run | INFO flwr 2023-11-26 13:02:15,933 | server.py:104 | FL starting
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:04:47,840 | server.py:222 | fit_round 1: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:05:53,131 | server.py:236 | fit_round 1 received 5 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-11-26 13:05:53,291 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
jax-FedAvg-run | INFO flwr 2023-11-26 13:06:15,778 | server.py:125 | fit progress: (1, 1.8242485523223877, {'accuracy': 0.38055557012557983}, 239.844680562)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:06:15,778 | server.py:173 | evaluate_round 1: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:06:58,414 | server.py:187 | evaluate_round 1 received 5 results and 0 failures
jax-FedAvg-run | WARNING flwr 2023-11-26 13:06:58,415 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:06:58,415 | server.py:222 | fit_round 2: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:07:59,408 | server.py:236 | fit_round 2 received 5 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-11-26 13:08:40,764 | server.py:125 | fit progress: (2, 1.233691692352295, {'accuracy': 0.4888888895511627}, 384.83146355799994)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:08:40,765 | server.py:173 | evaluate_round 2: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:09:22,887 | server.py:187 | evaluate_round 2 received 5 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:09:22,887 | server.py:222 | fit_round 3: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:10:23,998 | server.py:236 | fit_round 3 received 5 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-11-26 13:11:05,337 | server.py:125 | fit progress: (3, 0.8828120231628418, {'accuracy': 0.5527777671813965}, 529.40395717)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:11:05,337 | server.py:173 | evaluate_round 3: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:11:47,582 | server.py:187 | evaluate_round 3 received 5 results and 0 failures
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:11:47,582 | server.py:222 | fit_round 4: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:12:48,957 | server.py:236 | fit_round 4 received 5 results and 0 failures
jax-FedAvg-run | INFO flwr 2023-11-26 13:13:11,656 | server.py:125 | fit progress: (4, 0.7274227142333984, {'accuracy': 0.5991666913032532}, 655.7234124409999)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:13:11,657 | server.py:173 | evaluate_round 4: strategy sampled 5 clients (out of 5)
jax-FedAvg-run | DEBUG flwr 2023-11-26 13:13:54,108 | server.py:187 | evaluate_round 4 received 5 results and 0 failures
