jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,558 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,562 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,566 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,567 | connection.py:139 | gRPC channel closed
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:59,578 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:59,578 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,604 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,604 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,605 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,605 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-12-01 21:00:19,461 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 19, 461574), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:00:19,461 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 19, 461574), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:01:43,424 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 43, 424205), 'cpu_utilization': 77.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:01:43,424 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 43, 424205), 'cpu_utilization': 77.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:03:53,559 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 53, 559482), 'cpu_utilization': 86.9}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:03:53,559 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 53, 559482), 'cpu_utilization': 86.9}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:05:17,131 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 5, 17, 131718), 'cpu_utilization': 76.6}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:05:17,131 | client.py:104 | Instance i-015d35a55511aee78 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 5, 17, 131718), 'cpu_utilization': 76.6}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:07:27,948 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 7, 27, 948755), 'cpu_utilization': 86.9}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:07:27,948 | client.py:82 | Instance i-015d35a55511aee78 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 7, 27, 948755), 'cpu_utilization': 86.9}
