jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:49,510 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,513 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,515 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:49,717 | connection.py:139 | gRPC channel closed
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:59,728 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | INFO flwr 2023-12-01 20:57:59,728 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,752 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,752 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,755 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | DEBUG flwr 2023-12-01 20:57:59,755 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-12-01 21:00:19,271 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 19, 271449), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:00:19,271 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 19, 271449), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:01:34,318 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 34, 318146), 'cpu_utilization': 98.9}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:01:34,318 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 34, 318146), 'cpu_utilization': 98.9}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:03:51,576 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 51, 575976), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:03:51,576 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 51, 575976), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:05:07,819 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 5, 7, 818762), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:05:07,819 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 5, 7, 818762), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:07:23,836 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 7, 23, 836213), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:07:23,836 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 7, 23, 836213), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:08:42,257 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 8, 42, 257329), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:08:42,257 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 8, 42, 257329), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:11:00,193 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 11, 0, 193119), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:11:00,193 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 11, 0, 193119), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:12:24,044 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 12, 24, 44194), 'cpu_utilization': 76.7}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:12:24,044 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 12, 24, 44194), 'cpu_utilization': 76.7}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:14:32,040 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 14, 32, 40619), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:14:32,040 | client.py:82 | Instance i-05236a567d2377413 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 14, 32, 40619), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-01 21:15:40,176 | client.py:104 | Instance i-05236a567d2377413 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 15, 40, 176067), 'cpu_utilization': 76.9}
