jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:59,004 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,004 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,005 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,014 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-12-02 10:55:10,793 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 55, 10, 793726), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:56:52,743 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 56, 52, 743165), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:58:05,531 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 58, 5, 531466), 'cpu_utilization': 87.2}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:00:01,127 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 0, 1, 126845), 'cpu_utilization': 75.9}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:01:45,277 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 1, 45, 277538), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:03:05,198 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 3, 5, 198539), 'cpu_utilization': 76.5}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:04:09,391 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 4, 9, 390926), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:05:50,841 | client.py:104 | Instance i-004c82a5fdfd7b555 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 5, 50, 841717), 'cpu_utilization': 99.1}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:07:03,436 | client.py:82 | Instance i-004c82a5fdfd7b555 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 7, 3, 436572), 'cpu_utilization': 87.0}
