jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:58,988 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:58,990 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:58,990 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:58,994 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,197 | connection.py:139 | gRPC channel closed
jax-FedAvgM-run | INFO flwr 2023-12-02 10:54:09,208 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | INFO flwr 2023-12-02 10:54:09,208 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:54:09,237 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:54:09,237 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:54:09,238 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:54:09,238 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-12-02 10:55:11,412 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 55, 11, 372573), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:55:11,412 | client.py:82 | Instance i-0eacf0d7bbb047794 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 55, 11, 372573), 'cpu_utilization': 87.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:56:52,703 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 56, 52, 702879), 'cpu_utilization': 99.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:56:52,703 | client.py:104 | Instance i-0eacf0d7bbb047794 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 56, 52, 702879), 'cpu_utilization': 99.0}
