jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:59,000 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,002 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,002 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:53:59,013 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-12-02 10:55:42,816 | client.py:82 | Instance i-0eea2d3159f6b5d7a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 55, 42, 816290), 'cpu_utilization': 86.9}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:56:52,656 | client.py:104 | Instance i-0eea2d3159f6b5d7a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 56, 52, 656588), 'cpu_utilization': 99.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:58:36,548 | client.py:82 | Instance i-0eea2d3159f6b5d7a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 58, 36, 548537), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:59:51,987 | client.py:104 | Instance i-0eea2d3159f6b5d7a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 10, 59, 51, 986892), 'cpu_utilization': 99.0}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:01:14,284 | client.py:82 | Instance i-0eea2d3159f6b5d7a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 1, 14, 284758), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:03:37,692 | client.py:104 | Instance i-0eea2d3159f6b5d7a : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 3, 37, 692555), 'cpu_utilization': 75.3}
jax-FedAvgM-run | INFO flwr 2023-12-02 11:04:09,573 | client.py:82 | Instance i-0eea2d3159f6b5d7a : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 2, 11, 4, 9, 573030), 'cpu_utilization': 87.0}
