jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:58,988 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:58,995 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:58,999 | server.py:89 | Initializing global parameters
jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:58,999 | server.py:272 | Using initial parameters provided by strategy
jax-FedAvgM-run | INFO flwr 2023-12-02 10:53:59,006 | server.py:91 | Evaluating initial parameters
jax-FedAvgM-run | INFO flwr 2023-12-02 10:54:40,275 | server.py:94 | initial parameters (loss, other metrics): 2.341738224029541, {'accuracy': 0.5846064686775208}
jax-FedAvgM-run | INFO flwr 2023-12-02 10:54:40,275 | server.py:104 | FL starting
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:54:40,275 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:55:58,010 | server.py:236 | fit_round 1 received 8 results and 0 failures
jax-FedAvgM-run | WARNING flwr 2023-12-02 10:55:58,252 | fedavgm.py:198 | No fit_metrics_aggregation_fn provided
jax-FedAvgM-run | INFO flwr 2023-12-02 10:56:20,678 | server.py:125 | fit progress: (1, 2.186288356781006, {'accuracy': 0.550000011920929}, 100.40287473800026)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:56:20,679 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:57:35,116 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
jax-FedAvgM-run | WARNING flwr 2023-12-02 10:57:35,117 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
jax-FedAvgM-run | DEBUG flwr 2023-12-02 10:57:35,117 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
