jax-FedAvgM-run | INFO flwr 2023-11-26 13:27:47,840 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:47,841 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:47,842 | connection.py:42 | ChannelConnectivity.CONNECTING
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:47,858 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:48,061 | connection.py:139 | gRPC channel closed
jax-FedAvgM-run | INFO flwr 2023-11-26 13:27:58,073 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | INFO flwr 2023-11-26 13:27:58,073 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:58,098 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:58,098 | connection.py:42 | ChannelConnectivity.IDLE
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:58,099 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | DEBUG flwr 2023-11-26 13:27:58,099 | connection.py:42 | ChannelConnectivity.READY
jax-FedAvgM-run | INFO flwr 2023-11-26 13:28:59,946 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 59, 946534), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:28:59,946 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 28, 59, 946534), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:30:15,104 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 30, 15, 104457), 'cpu_utilization': 76.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:30:15,104 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 30, 15, 104457), 'cpu_utilization': 76.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:31:06,005 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 31, 6, 5668), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:31:06,005 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 31, 6, 5668), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:32:40,214 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 32, 40, 214128), 'cpu_utilization': 76.5}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:32:40,214 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 32, 40, 214128), 'cpu_utilization': 76.5}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:33:30,962 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 33, 30, 962149), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:33:30,962 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 33, 30, 962149), 'cpu_utilization': 87.1}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:35:05,413 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 5, 413624), 'cpu_utilization': 76.4}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:35:05,413 | client.py:104 | Instance i-005c4e21e7c493564 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 5, 413624), 'cpu_utilization': 76.4}
jax-FedAvgM-run | INFO flwr 2023-11-26 13:35:56,057 | client.py:82 | Instance i-005c4e21e7c493564 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 26, 13, 35, 56, 57420), 'cpu_utilization': 87.1}
