tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:46,309 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:46,314 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:46,318 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:46,322 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:56,334 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:56,334 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,365 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,365 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,370 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,370 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,376 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,376 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:26:49,829 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 26, 49, 829224), 'cpu_utilization': 59.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:26:49,829 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 26, 49, 829224), 'cpu_utilization': 59.6}
