tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:23:56,299 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,332 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:23:56,336 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:26:49,799 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 26, 49, 798788), 'cpu_utilization': 59.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:27:55,079 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 27, 55, 79483), 'cpu_utilization': 52.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:29:34,795 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 29, 34, 795393), 'cpu_utilization': 85.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:31:03,792 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 31, 3, 791609), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:33:46,044 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 33, 46, 43878), 'cpu_utilization': 59.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:34:32,097 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 34, 32, 97073), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:36:30,224 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 36, 30, 224471), 'cpu_utilization': 85.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:37:54,363 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 37, 54, 363217), 'cpu_utilization': 52.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:40:17,695 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 40, 17, 695623), 'cpu_utilization': 59.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:41:22,769 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 41, 22, 768472), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:43:46,209 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 43, 46, 209728), 'cpu_utilization': 60.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:44:32,442 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 44, 32, 442249), 'cpu_utilization': 98.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:47:14,084 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 47, 14, 84399), 'cpu_utilization': 60.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:48:19,103 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 48, 19, 103064), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:50:42,444 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 50, 42, 443812), 'cpu_utilization': 60.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:51:47,249 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 51, 47, 249061), 'cpu_utilization': 53.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:53:27,284 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 53, 27, 284116), 'cpu_utilization': 85.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:55:15,046 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 55, 15, 46028), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:56:53,015 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 56, 53, 14799), 'cpu_utilization': 85.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:59:01,653 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 17, 59, 1, 653166), 'cpu_utilization': 53.4}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-11-30 17:59:02,979 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-11-30 17:59:02,979 | app.py:215 | Disconnect and shut down
