tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,097 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,102 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,106 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,309 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,324 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,324 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,354 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,354 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,355 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,355 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,379 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,379 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:58,639 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 58, 638934), 'cpu_utilization': 81.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:58,639 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 58, 638934), 'cpu_utilization': 81.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:03,755 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 3, 755699), 'cpu_utilization': 53.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:03,755 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 3, 755699), 'cpu_utilization': 53.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:43,188 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 43, 188087), 'cpu_utilization': 85.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:43,188 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 43, 188087), 'cpu_utilization': 85.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:36,677 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 43, 36, 677290), 'cpu_utilization': 98.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:36,677 | client.py:104 | Instance i-001ae534853d5aba8 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 43, 36, 677290), 'cpu_utilization': 98.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:44:34,829 | client.py:82 | Instance i-001ae534853d5aba8 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 44, 34, 828769), 'cpu_utilization': 85.9}
