tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,044 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,074 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,077 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:40:39,764 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 40, 39, 764578), 'cpu_utilization': 48.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:41:44,753 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 41, 44, 753080), 'cpu_utilization': 98.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:50,579 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 50, 578818), 'cpu_utilization': 85.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:36,395 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 43, 36, 395071), 'cpu_utilization': 98.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:45:18,576 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 45, 18, 576305), 'cpu_utilization': 47.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:46:23,265 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 46, 23, 265520), 'cpu_utilization': 98.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:48:05,755 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 48, 5, 755495), 'cpu_utilization': 47.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:49:10,698 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 49, 10, 697998), 'cpu_utilization': 98.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:50:34,665 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 50, 34, 665070), 'cpu_utilization': 47.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:51:39,661 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 51, 39, 660808), 'cpu_utilization': 52.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:53:02,924 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 53, 2, 924594), 'cpu_utilization': 47.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:54:07,949 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 54, 7, 948780), 'cpu_utilization': 53.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:55:31,514 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 55, 31, 514618), 'cpu_utilization': 47.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:56:36,470 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 56, 36, 470143), 'cpu_utilization': 52.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:57:59,743 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 57, 59, 743292), 'cpu_utilization': 47.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:59:04,525 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 59, 4, 525085), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:00:46,751 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 0, 46, 751561), 'cpu_utilization': 47.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:01:51,571 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 1, 51, 570916), 'cpu_utilization': 52.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:02:39,386 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 2, 39, 386288), 'cpu_utilization': 86.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:03:44,201 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 3, 44, 200826), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:04:03,963 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,963 | app.py:215 | Disconnect and shut down
