tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,090 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,123 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,124 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:58,716 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 58, 716023), 'cpu_utilization': 79.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:41:44,247 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 41, 44, 247487), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:45,599 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 45, 598778), 'cpu_utilization': 79.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:55,559 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 43, 55, 558725), 'cpu_utilization': 51.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:44:37,835 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 44, 37, 835415), 'cpu_utilization': 81.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:46:42,437 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 46, 42, 436763), 'cpu_utilization': 51.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:48:05,934 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 48, 5, 934324), 'cpu_utilization': 43.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:49:11,263 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 49, 11, 263362), 'cpu_utilization': 98.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:49:53,683 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 49, 53, 683445), 'cpu_utilization': 82.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:51:20,403 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 51, 20, 403470), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:52:21,874 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 52, 21, 873909), 'cpu_utilization': 82.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:53:48,337 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 53, 48, 336984), 'cpu_utilization': 98.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:54:47,208 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 54, 47, 208090), 'cpu_utilization': 85.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:56:17,790 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 56, 17, 790079), 'cpu_utilization': 98.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:57:18,814 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 57, 18, 814670), 'cpu_utilization': 80.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:59:23,601 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 59, 23, 601193), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:00:05,659 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 0, 5, 658838), 'cpu_utilization': 79.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:01:32,184 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 1, 32, 183752), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:02:33,913 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 2, 33, 913072), 'cpu_utilization': 79.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:03:43,812 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 3, 43, 812075), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:04:03,959 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,959 | app.py:215 | Disconnect and shut down
