tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:36,064 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,066 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,067 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,085 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:36,304 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,319 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,319 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,348 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,348 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,349 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,349 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,350 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,350 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:55,951 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 55, 951382), 'cpu_utilization': 85.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:55,951 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 55, 951382), 'cpu_utilization': 85.3}
