tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:38:46,011 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,048 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 09:38:46,049 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:39:58,833 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 39, 58, 833238), 'cpu_utilization': 79.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:41:44,354 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 41, 44, 354103), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:42:45,819 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 42, 45, 819266), 'cpu_utilization': 78.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:43:55,672 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 43, 55, 672192), 'cpu_utilization': 51.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:44:37,840 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 44, 37, 840178), 'cpu_utilization': 78.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:46:42,412 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 46, 42, 412660), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:47:21,261 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 47, 21, 261232), 'cpu_utilization': 85.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:49:10,315 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 49, 10, 315302), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:49:53,650 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 49, 53, 650176), 'cpu_utilization': 78.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:51:20,179 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 51, 20, 174412), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:52:22,075 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 52, 22, 75363), 'cpu_utilization': 78.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:54:07,936 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 54, 7, 936399), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:54:50,520 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 54, 50, 520140), 'cpu_utilization': 78.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:56:36,605 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 56, 36, 605281), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:57:18,757 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 57, 18, 756936), 'cpu_utilization': 78.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 09:59:23,456 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 59, 23, 456318), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:00:05,693 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 0, 5, 693390), 'cpu_utilization': 78.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:01:32,265 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 1, 32, 264837), 'cpu_utilization': 98.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:02:34,142 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 2, 34, 142443), 'cpu_utilization': 77.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:03:43,917 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 3, 43, 917405), 'cpu_utilization': 98.3}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 10:04:03,965 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 10:04:03,965 | app.py:215 | Disconnect and shut down
