tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,621 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,626 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,626 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,634 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,244 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 243981), 'cpu_utilization': 50.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:14,595 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 14, 594936), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:37,480 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 37, 479830), 'cpu_utilization': 51.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:48,533 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 48, 533021), 'cpu_utilization': 53.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:13,222 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 13, 222406), 'cpu_utilization': 85.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:51:52,245 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 51, 52, 245342), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:56,593 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 56, 592778), 'cpu_utilization': 49.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:18,888 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 18, 888549), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:24,641 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 24, 641755), 'cpu_utilization': 86.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:33,630 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 33, 630241), 'cpu_utilization': 53.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:16,255 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 16, 254945), 'cpu_utilization': 49.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:59:45,707 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 59, 45, 706813), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:01:09,435 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 1, 9, 435237), 'cpu_utilization': 49.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:02:19,120 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 2, 19, 120277), 'cpu_utilization': 98.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:03:24,214 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 3, 24, 214342), 'cpu_utilization': 49.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:04:51,658 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 4, 51, 657836), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:05:57,463 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 5, 57, 462836), 'cpu_utilization': 85.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:07:36,347 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 7, 36, 347727), 'cpu_utilization': 98.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:08:39,495 | client.py:82 | Instance i-002121a3ab77bd32c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 8, 39, 495633), 'cpu_utilization': 84.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:09,478 | client.py:104 | Instance i-002121a3ab77bd32c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 11, 9, 477694), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:11:10,209 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,210 | app.py:215 | Disconnect and shut down
