tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:15,508 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,542 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,543 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:45:09,892 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 45, 9, 885247), 'cpu_utilization': 50.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:14,171 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 14, 170775), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:20,425 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 20, 425274), 'cpu_utilization': 85.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:26,133 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 26, 132892), 'cpu_utilization': 51.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:55,031 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 55, 31456), 'cpu_utilization': 43.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:11,136 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 11, 136395), 'cpu_utilization': 50.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:39,330 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 39, 329985), 'cpu_utilization': 86.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:18,396 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 18, 396246), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:42,054 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 42, 54103), 'cpu_utilization': 49.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:11,632 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 11, 632347), 'cpu_utilization': 51.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:16,206 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 16, 206265), 'cpu_utilization': 49.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:59:25,813 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 59, 25, 813322), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:00:51,889 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 0, 51, 889367), 'cpu_utilization': 86.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:02:38,320 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 2, 38, 320404), 'cpu_utilization': 51.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:03:06,539 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 3, 6, 539087), 'cpu_utilization': 86.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:04:50,969 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 4, 50, 969701), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:06:14,933 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 6, 14, 933557), 'cpu_utilization': 49.8}
