tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,622 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,624 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,624 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,636 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:11,169 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 11, 168849), 'cpu_utilization': 85.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:33,669 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 33, 669552), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:37,379 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 37, 379472), 'cpu_utilization': 49.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:06,561 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 6, 561012), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:51:06,213 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 51, 6, 213403), 'cpu_utilization': 49.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:14,114 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 14, 114592), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:56,544 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 56, 543788), 'cpu_utilization': 50.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:18,277 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 18, 276841), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:56:06,581 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 56, 6, 581217), 'cpu_utilization': 49.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:11,449 | client.py:104 | Instance i-03aaab0d16988ed30 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 11, 448731), 'cpu_utilization': 51.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:16,105 | client.py:82 | Instance i-03aaab0d16988ed30 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 16, 105535), 'cpu_utilization': 50.0}
