tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:15,550 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,585 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,586 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:53,332 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 53, 332087), 'cpu_utilization': 49.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:55,844 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 55, 844139), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:37,475 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 37, 475118), 'cpu_utilization': 49.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:47,893 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 47, 892780), 'cpu_utilization': 53.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:30,320 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 30, 319993), 'cpu_utilization': 49.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:15,176 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 15, 175897), 'cpu_utilization': 98.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:56,829 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 56, 829650), 'cpu_utilization': 49.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:41,112 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 41, 112216), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:42,048 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 42, 48047), 'cpu_utilization': 49.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:11,349 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 11, 349612), 'cpu_utilization': 53.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:16,169 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 16, 169084), 'cpu_utilization': 48.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:00:07,994 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 0, 7, 993725), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:01:33,915 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 1, 33, 915447), 'cpu_utilization': 49.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:02:19,283 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 2, 19, 282891), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:03:24,243 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 3, 24, 242790), 'cpu_utilization': 49.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:05:10,526 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 5, 10, 525795), 'cpu_utilization': 53.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:06:14,809 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 6, 14, 809451), 'cpu_utilization': 48.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:07:55,374 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 7, 55, 374037), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:08:41,907 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 8, 41, 907730), 'cpu_utilization': 85.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:10:27,918 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 10, 27, 918097), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 22:11:10,201 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:11:10,202 | app.py:215 | Disconnect and shut down
