tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,605 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,607 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,607 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,616 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,294 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 294500), 'cpu_utilization': 49.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:14,151 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 14, 150883), 'cpu_utilization': 98.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:37,354 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 37, 354227), 'cpu_utilization': 48.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:06,240 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 6, 240193), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:30,520 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 30, 520731), 'cpu_utilization': 48.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:11,181 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 11, 180777), 'cpu_utilization': 51.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:53:14,459 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 53, 14, 459378), 'cpu_utilization': 86.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:18,206 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 18, 205895), 'cpu_utilization': 98.7}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:42,000 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 42, 779), 'cpu_utilization': 48.6}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:56:52,048 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 56, 52, 48416), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:16,251 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 16, 251443), 'cpu_utilization': 48.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:59:45,758 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 59, 45, 758481), 'cpu_utilization': 51.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:01:09,515 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 1, 9, 515498), 'cpu_utilization': 48.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:02:41,264 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 2, 41, 264467), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:03:24,328 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 3, 24, 328339), 'cpu_utilization': 48.4}
