tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,564 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,567 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,569 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,772 | connection.py:139 | gRPC channel closed
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:15,784 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:15,784 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,815 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,815 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,818 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,818 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,079 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 79092), 'cpu_utilization': 51.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,079 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 79092), 'cpu_utilization': 51.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:14,927 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 14, 927303), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:14,927 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 14, 927303), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:48:02,204 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 48, 2, 204697), 'cpu_utilization': 85.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:48:02,204 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 48, 2, 204697), 'cpu_utilization': 85.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:07,191 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 7, 190978), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:07,191 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 7, 190978), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:30,526 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 30, 525883), 'cpu_utilization': 50.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:30,526 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 30, 525883), 'cpu_utilization': 50.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:11,160 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 11, 160601), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:11,160 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 11, 160601), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:53:04,384 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 53, 4, 384540), 'cpu_utilization': 86.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:53:04,384 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 53, 4, 384540), 'cpu_utilization': 86.2}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:37,756 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 37, 756193), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:37,756 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 37, 756193), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:24,814 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 24, 814280), 'cpu_utilization': 86.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:55:24,814 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 55, 24, 814280), 'cpu_utilization': 86.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:11,577 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 11, 577123), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:57:11,577 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 57, 11, 577123), 'cpu_utilization': 52.9}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:40,652 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 40, 652616), 'cpu_utilization': 86.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:58:40,652 | client.py:82 | Instance i-073bce5faa48cae31 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 58, 40, 652616), 'cpu_utilization': 86.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:00:27,327 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 0, 27, 327337), 'cpu_utilization': 53.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 22:00:27,327 | client.py:104 | Instance i-073bce5faa48cae31 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 0, 27, 327337), 'cpu_utilization': 53.1}
