tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,584 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,586 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,587 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:05,604 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,162 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 162196), 'cpu_utilization': 50.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:33,877 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 33, 877577), 'cpu_utilization': 53.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:48:02,616 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 48, 2, 616197), 'cpu_utilization': 50.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:26,063 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 26, 63709), 'cpu_utilization': 53.8}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:30,536 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 30, 526992), 'cpu_utilization': 50.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:51:52,042 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 51, 52, 41903), 'cpu_utilization': 98.4}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:56,752 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 56, 752282), 'cpu_utilization': 49.7}
