tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:15,525 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,557 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:15,559 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:44:28,254 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 44, 28, 254609), 'cpu_utilization': 73.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:46:37,330 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 46, 37, 329725), 'cpu_utilization': 98.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:47:37,476 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 47, 37, 476709), 'cpu_utilization': 72.5}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:49:26,186 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 49, 26, 186606), 'cpu_utilization': 53.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:50:23,823 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 50, 23, 822958), 'cpu_utilization': 86.0}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:11,217 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 11, 217276), 'cpu_utilization': 53.3}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:52:49,880 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 52, 49, 880115), 'cpu_utilization': 86.1}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:54:37,907 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 54, 37, 906858), 'cpu_utilization': 53.0}
