tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,576 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,578 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,578 | server.py:89 | Initializing global parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,578 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:05,578 | server.py:91 | Evaluating initial parameters
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:46,851 | server.py:94 | initial parameters (loss, other metrics): 2.3006434440612793, {'accuracy': 0.614130437374115}
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:43:46,851 | server.py:104 | FL starting
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:43:46,859 | server.py:222 | fit_round 1: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:45:11,017 | server.py:236 | fit_round 1 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-12-01 21:45:11,260 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:45:52,518 | server.py:125 | fit progress: (1, 42435.38671875, {'accuracy': 0.5913194417953491}, 125.66610288899983)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:45:52,518 | server.py:173 | evaluate_round 1: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:46:56,137 | server.py:187 | evaluate_round 1 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | WARNING flwr 2023-12-01 21:46:56,137 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:46:56,137 | server.py:222 | fit_round 2: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:48:03,271 | server.py:236 | fit_round 2 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:48:44,759 | server.py:125 | fit progress: (2, 1695.9742431640625, {'accuracy': 0.5762777924537659}, 297.9071299930001)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:48:44,759 | server.py:173 | evaluate_round 2: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:49:49,189 | server.py:187 | evaluate_round 2 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:49:49,189 | server.py:222 | fit_round 3: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:51:07,149 | server.py:236 | fit_round 3 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:51:29,706 | server.py:125 | fit progress: (3, 114.64507293701172, {'accuracy': 0.5559828877449036}, 462.854547507)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:51:29,706 | server.py:173 | evaluate_round 3: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:52:15,456 | server.py:187 | evaluate_round 3 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:52:15,456 | server.py:222 | fit_round 4: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:53:15,126 | server.py:236 | fit_round 4 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:53:56,604 | server.py:125 | fit progress: (4, 17.664369583129883, {'accuracy': 0.5363168716430664}, 609.7526430889998)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:53:56,605 | server.py:173 | evaluate_round 4: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:55:00,694 | server.py:187 | evaluate_round 4 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:55:00,694 | server.py:222 | fit_round 5: strategy sampled 8 clients (out of 8)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:56:07,770 | server.py:236 | fit_round 5 received 8 results and 0 failures
tensorflow-FedAdaGrad-run | INFO flwr 2023-12-01 21:56:30,238 | server.py:125 | fit progress: (5, 2.202200412750244, {'accuracy': 0.526884913444519}, 763.3865190419997)
tensorflow-FedAdaGrad-run | DEBUG flwr 2023-12-01 21:56:30,238 | server.py:173 | evaluate_round 5: strategy sampled 8 clients (out of 8)
