tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,145 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:03,150 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:03,150 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:03,372 | connection.py:139 | gRPC channel closed
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:13,385 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:13,385 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:13,413 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:13,413 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:13,416 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:13,416 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:02:06,552 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 2, 6, 551906), 'cpu_utilization': 61.1}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:02:06,552 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 2, 6, 551906), 'cpu_utilization': 61.1}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:03:11,868 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 3, 11, 867520), 'cpu_utilization': 98.5}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:03:11,868 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 3, 11, 867520), 'cpu_utilization': 98.5}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:05:53,457 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 5, 53, 456832), 'cpu_utilization': 60.8}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:05:53,457 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 5, 53, 456832), 'cpu_utilization': 60.8}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:06:58,519 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 6, 58, 518938), 'cpu_utilization': 53.5}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:06:58,519 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 18, 6, 58, 518938), 'cpu_utilization': 53.5}
