tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,172 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,174 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,175 | server.py:89 | Initializing global parameters
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,175 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:03,175 | server.py:91 | Evaluating initial parameters
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:44,436 | server.py:94 | initial parameters (loss, other metrics): 2.308896541595459, {'accuracy': 0.5601307153701782}
tensorflow-FedAdam-run | INFO flwr 2023-11-30 17:59:44,436 | server.py:104 | FL starting
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 17:59:44,436 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:02:08,056 | server.py:236 | fit_round 1 received 2 results and 0 failures
tensorflow-FedAdam-run | WARNING flwr 2023-11-30 18:02:08,132 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:02:49,428 | server.py:125 | fit progress: (1, 65499.2734375, {'accuracy': 0.5461111068725586}, 184.9921107780001)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:02:49,429 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:03:31,363 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
tensorflow-FedAdam-run | WARNING flwr 2023-11-30 18:03:31,363 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:03:31,363 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:05:54,939 | server.py:236 | fit_round 2 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:06:17,345 | server.py:125 | fit progress: (2, 5504.22412109375, {'accuracy': 0.5346836447715759}, 392.9085219690005)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:06:17,345 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:06:59,745 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:06:59,745 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:09:23,198 | server.py:236 | fit_round 3 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:09:45,709 | server.py:125 | fit progress: (3, 11.586165428161621, {'accuracy': 0.5236111283302307}, 601.273147375)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:09:45,714 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:10:27,598 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:10:27,598 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:12:50,527 | server.py:236 | fit_round 4 received 2 results and 0 failures
tensorflow-FedAdam-run | INFO flwr 2023-11-30 18:13:31,832 | server.py:125 | fit progress: (4, 37.45285415649414, {'accuracy': 0.5133771896362305}, 827.3955530090007)
tensorflow-FedAdam-run | DEBUG flwr 2023-11-30 18:13:31,832 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
