tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:04:04,192 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,195 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,197 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,199 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:06:07,609 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 6, 7, 609691), 'cpu_utilization': 49.1}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:07:31,574 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 7, 31, 574477), 'cpu_utilization': 53.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:08:54,948 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 8, 54, 947778), 'cpu_utilization': 48.7}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:10:00,212 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 10, 0, 212457), 'cpu_utilization': 53.1}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:11:23,702 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 11, 23, 702566), 'cpu_utilization': 48.5}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:12:47,566 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 12, 47, 566525), 'cpu_utilization': 52.9}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:13:35,115 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 13, 35, 115549), 'cpu_utilization': 86.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:14:21,366 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 14, 21, 365953), 'cpu_utilization': 98.7}
