tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:04:04,205 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,207 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,207 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:04,223 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:05:26,800 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 5, 26, 800055), 'cpu_utilization': 80.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:07:31,656 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 7, 31, 655789), 'cpu_utilization': 51.5}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:08:14,080 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 8, 14, 80471), 'cpu_utilization': 79.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:09:40,460 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 9, 40, 460391), 'cpu_utilization': 98.5}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:10:42,728 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 10, 42, 728353), 'cpu_utilization': 79.1}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:12:47,719 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 12, 47, 719262), 'cpu_utilization': 51.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:13:29,975 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 13, 29, 975626), 'cpu_utilization': 79.3}
