tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:04:14,177 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:14,208 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 10:04:14,209 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:05:26,611 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 5, 26, 610980), 'cpu_utilization': 79.1}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:07:31,795 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 7, 31, 795660), 'cpu_utilization': 51.7}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:08:14,144 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 8, 14, 144269), 'cpu_utilization': 78.2}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:09:40,461 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 9, 40, 461091), 'cpu_utilization': 98.5}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:10:42,705 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 10, 42, 705096), 'cpu_utilization': 78.2}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:12:28,155 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 12, 28, 154964), 'cpu_utilization': 98.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:13:30,116 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 13, 30, 116009), 'cpu_utilization': 78.3}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:14:20,679 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 14, 20, 679214), 'cpu_utilization': 98.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:15:19,285 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 15, 19, 284819), 'cpu_utilization': 85.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:17:27,546 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 17, 27, 546309), 'cpu_utilization': 51.3}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:18:06,591 | client.py:82 | Instance i-071d019a91f92aa73 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 18, 6, 591198), 'cpu_utilization': 85.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 10:19:00,856 | client.py:104 | Instance i-071d019a91f92aa73 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 10, 19, 0, 856545), 'cpu_utilization': 98.6}
