tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:11:10,395 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,400 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,404 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:12:16,769 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 12, 16, 769575), 'cpu_utilization': 85.2}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:14:22,367 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 14, 22, 367609), 'cpu_utilization': 53.7}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:15:27,192 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 15, 27, 191951), 'cpu_utilization': 51.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:16:54,285 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 16, 54, 285113), 'cpu_utilization': 98.3}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:18:18,566 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 18, 18, 566707), 'cpu_utilization': 49.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:19:39,062 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 19, 39, 62329), 'cpu_utilization': 98.3}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:21:03,688 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 21, 3, 687923), 'cpu_utilization': 51.1}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:22:32,770 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 22, 32, 770675), 'cpu_utilization': 98.5}
