tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:11:10,367 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,369 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,369 | connection.py:42 | ChannelConnectivity.TRANSIENT_FAILURE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,573 | connection.py:139 | gRPC channel closed
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:11:20,585 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:11:20,585 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:20,615 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:20,615 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:20,616 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:20,616 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:12:33,158 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 12, 33, 158703), 'cpu_utilization': 49.7}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:12:33,158 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 12, 33, 158703), 'cpu_utilization': 49.7}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:14:45,293 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 14, 45, 293487), 'cpu_utilization': 98.2}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:14:45,293 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 14, 45, 293487), 'cpu_utilization': 98.2}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:15:27,113 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 15, 27, 113318), 'cpu_utilization': 49.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:15:27,113 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 15, 27, 113318), 'cpu_utilization': 49.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:16:54,369 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 16, 54, 369039), 'cpu_utilization': 98.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:16:54,369 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 16, 54, 369039), 'cpu_utilization': 98.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:18:18,447 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 18, 18, 446838), 'cpu_utilization': 48.8}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:18:18,447 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 18, 18, 446838), 'cpu_utilization': 48.8}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:19:58,384 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 19, 58, 384433), 'cpu_utilization': 52.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:19:58,384 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 19, 58, 384433), 'cpu_utilization': 52.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:21:03,414 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 21, 3, 414345), 'cpu_utilization': 49.3}
