tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:11:10,423 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,424 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,425 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAdam-run | DEBUG flwr 2023-12-01 22:11:10,436 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:12:58,942 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 12, 58, 942500), 'cpu_utilization': 50.9}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:14:03,795 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 14, 3, 795426), 'cpu_utilization': 98.0}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:15:26,938 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 15, 26, 938160), 'cpu_utilization': 49.9}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:16:54,832 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 16, 54, 832085), 'cpu_utilization': 98.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:18:42,705 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 18, 42, 705042), 'cpu_utilization': 85.8}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:20:21,302 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 20, 21, 302144), 'cpu_utilization': 53.6}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:21:03,590 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 21, 3, 590318), 'cpu_utilization': 50.4}
tensorflow-FedAdam-run | INFO flwr 2023-12-01 22:22:32,845 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 22, 22, 32, 844939), 'cpu_utilization': 98.0}
