tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:13:19,796 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:19,813 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:19,813 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:15:53,808 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 15, 53, 808101), 'cpu_utilization': 60.6}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:16:40,127 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 16, 40, 126829), 'cpu_utilization': 97.8}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:19:22,126 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 19, 22, 126233), 'cpu_utilization': 60.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:20:27,120 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 20, 27, 120555), 'cpu_utilization': 53.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:22:50,444 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 22, 50, 444348), 'cpu_utilization': 60.5}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:23:36,291 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 23, 36, 290765), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:26:18,646 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 26, 18, 646085), 'cpu_utilization': 60.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:27:23,763 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 27, 23, 763595), 'cpu_utilization': 53.1}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:29:05,851 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 29, 5, 851461), 'cpu_utilization': 84.8}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:30:09,582 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 30, 9, 582590), 'cpu_utilization': 98.6}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:32:32,916 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 32, 32, 916368), 'cpu_utilization': 60.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:33:19,122 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 33, 19, 122201), 'cpu_utilization': 98.2}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:36:01,296 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 36, 1, 296002), 'cpu_utilization': 60.2}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:37:24,522 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 37, 24, 522206), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:39:47,447 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 39, 47, 446892), 'cpu_utilization': 60.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:40:33,488 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 40, 33, 487700), 'cpu_utilization': 98.2}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:42:16,365 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 42, 16, 364966), 'cpu_utilization': 84.6}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:43:21,097 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 43, 21, 97095), 'cpu_utilization': 53.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:45:44,242 | client.py:82 | Instance i-026d0220536bf2c8e : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 45, 44, 242365), 'cpu_utilization': 60.5}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:07,547 | client.py:104 | Instance i-026d0220536bf2c8e : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 47, 7, 547516), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:47:08,811 | connection.py:139 | gRPC channel closed
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:08,811 | app.py:215 | Disconnect and shut down
