tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:13:30,435 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:30,440 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:30,441 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:30,454 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:15:13,185 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 15, 13, 185051), 'cpu_utilization': 84.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:16:58,802 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 16, 58, 802231), 'cpu_utilization': 53.3}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:19:22,163 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 19, 22, 163285), 'cpu_utilization': 59.9}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:20:27,163 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 20, 27, 162852), 'cpu_utilization': 52.7}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:22:50,454 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 22, 50, 453804), 'cpu_utilization': 60.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:23:55,363 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 23, 55, 363231), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:26:18,628 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 26, 18, 628348), 'cpu_utilization': 59.9}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:27:04,236 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 27, 4, 236022), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:29:03,714 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 29, 3, 714631), 'cpu_utilization': 85.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:30:09,605 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 30, 9, 605545), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:32:32,961 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 32, 32, 961597), 'cpu_utilization': 59.4}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:33:37,972 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 33, 37, 971829), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:35:19,198 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 35, 19, 198491), 'cpu_utilization': 85.2}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:37:05,628 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 37, 5, 628256), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:39:47,405 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 39, 47, 404805), 'cpu_utilization': 60.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:40:33,123 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 40, 33, 123121), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:42:14,805 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 42, 14, 805213), 'cpu_utilization': 85.1}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:43:20,943 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 43, 20, 943395), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:45:02,172 | client.py:82 | Instance i-0627884eb34d1fd16 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 45, 2, 172271), 'cpu_utilization': 85.2}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:07,512 | client.py:104 | Instance i-0627884eb34d1fd16 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 11, 30, 16, 47, 7, 512528), 'cpu_utilization': 53.1}
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:47:08,824 | connection.py:139 | gRPC channel closed
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:08,824 | app.py:215 | Disconnect and shut down
