tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:10:51,252 | app.py:162 | Starting Flower server, config: ServerConfig(num_rounds=10, round_timeout=None)
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:10:51,272 | app.py:175 | Flower ECE: gRPC server running (10 rounds), SSL is disabled
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:10:51,284 | server.py:89 | Initializing global parameters
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:10:51,287 | server.py:272 | Using initial parameters provided by strategy
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:10:51,292 | server.py:91 | Evaluating initial parameters
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:11:32,549 | server.py:94 | initial parameters (loss, other metrics): 2.308896541595459, {'accuracy': 0.13472221791744232}
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:11:32,549 | server.py:104 | FL starting
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:13:30,452 | server.py:222 | fit_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:15:54,833 | server.py:236 | fit_round 1 received 2 results and 0 failures
tensorflow-FedAvg-run | WARNING flwr 2023-11-30 16:15:54,914 | fedavg.py:242 | No fit_metrics_aggregation_fn provided
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:16:17,295 | server.py:125 | fit progress: (1, 1.258491039276123, {'accuracy': 0.42152777314186096}, 284.746011935)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:16:17,296 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:17:00,026 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
tensorflow-FedAvg-run | WARNING flwr 2023-11-30 16:17:00,026 | fedavg.py:273 | No evaluate_metrics_aggregation_fn provided
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:17:00,027 | server.py:222 | fit_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:19:23,605 | server.py:236 | fit_round 2 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:19:45,960 | server.py:125 | fit progress: (2, 0.8822063207626343, {'accuracy': 0.522685170173645}, 493.41050306200003)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:19:45,960 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:20:28,348 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:20:28,348 | server.py:222 | fit_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:22:51,804 | server.py:236 | fit_round 3 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:23:14,170 | server.py:125 | fit progress: (3, 0.5921737551689148, {'accuracy': 0.5982638597488403}, 701.620471901)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:23:14,170 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:23:56,537 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:23:56,538 | server.py:222 | fit_round 4: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:26:19,879 | server.py:236 | fit_round 4 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:26:42,611 | server.py:125 | fit progress: (4, 0.5794191956520081, {'accuracy': 0.6463888883590698}, 910.062120688)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:26:42,612 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:27:24,539 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:27:24,539 | server.py:222 | fit_round 5: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:29:06,769 | server.py:236 | fit_round 5 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:29:48,005 | server.py:125 | fit progress: (5, 0.6139956712722778, {'accuracy': 0.6787037253379822}, 1095.455599366)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:29:48,005 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:30:10,831 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:30:10,832 | server.py:222 | fit_round 6: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:32:34,244 | server.py:236 | fit_round 6 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:32:56,781 | server.py:125 | fit progress: (6, 0.6613252758979797, {'accuracy': 0.7021825313568115}, 1284.2314504629999)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:32:56,786 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:33:39,187 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:33:39,188 | server.py:222 | fit_round 7: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:36:02,148 | server.py:236 | fit_round 7 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:36:43,372 | server.py:125 | fit progress: (7, 0.614216685295105, {'accuracy': 0.721875011920929}, 1510.822786601)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:36:43,373 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:37:25,293 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:37:25,294 | server.py:222 | fit_round 8: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:39:48,659 | server.py:236 | fit_round 8 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:40:10,931 | server.py:125 | fit progress: (8, 0.6081230044364929, {'accuracy': 0.737500011920929}, 1718.381908871)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:40:10,932 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:40:34,415 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:40:34,415 | server.py:222 | fit_round 9: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:42:17,401 | server.py:236 | fit_round 9 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:42:39,787 | server.py:125 | fit progress: (9, 0.6826483011245728, {'accuracy': 0.7493055462837219}, 1867.237560796)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:42:39,787 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:43:22,149 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:43:22,149 | server.py:222 | fit_round 10: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:45:45,155 | server.py:236 | fit_round 10 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:46:26,385 | server.py:125 | fit progress: (10, 0.6682826280593872, {'accuracy': 0.7613636255264282}, 2093.835460146)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:46:26,385 | server.py:173 | evaluate_round 10: strategy sampled 2 clients (out of 2)
tensorflow-FedAvg-run | DEBUG flwr 2023-11-30 16:47:08,785 | server.py:187 | evaluate_round 10 received 2 results and 0 failures
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:08,785 | server.py:153 | FL finished in 2136.235634084
tensorflow-FedAvg-run | INFO flwr 2023-11-30 16:47:08,785 | app.py:225 | app_fit: losses_distributed [(1, 1.258491039276123), (2, 0.8822063207626343), (3, 0.5921737551689148), (4, 0.5794191956520081), (5, 0.6139956712722778), (6, 0.6613252758979797), (7, 0.614216685295105), (8, 0.6081230044364929), (9, 0.6826483011245728), (10, 0.6682826280593872)]
