tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:49:37,886 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:37,894 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:37,910 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:50:32,412 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 50, 32, 411860), 'cpu_utilization': 83.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:51:18,942 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 51, 18, 942548), 'cpu_utilization': 97.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:53:01,333 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 53, 1, 333412), 'cpu_utilization': 50.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:54:06,300 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 54, 6, 300582), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:55:48,033 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 55, 48, 33549), 'cpu_utilization': 48.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:56:52,951 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 56, 52, 950991), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:57:58,782 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 57, 58, 781993), 'cpu_utilization': 85.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:59:04,221 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 59, 4, 221063), 'cpu_utilization': 52.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:00:27,616 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 0, 27, 616377), 'cpu_utilization': 48.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:01:51,351 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 1, 51, 350749), 'cpu_utilization': 53.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:03:14,878 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 3, 14, 878324), 'cpu_utilization': 50.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:04:20,139 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 4, 20, 138884), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:06:02,097 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 6, 2, 96878), 'cpu_utilization': 49.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:06:48,335 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 6, 48, 334894), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:07:55,556 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 7, 55, 556203), 'cpu_utilization': 85.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:09:00,804 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 9, 0, 804357), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:10:24,337 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 10, 24, 337408), 'cpu_utilization': 49.1}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:11:29,772 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 11, 29, 772210), 'cpu_utilization': 53.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:12:18,098 | client.py:82 | Instance i-029e1f812c9f6a797 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 12, 18, 98723), 'cpu_utilization': 85.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:13:23,003 | client.py:104 | Instance i-029e1f812c9f6a797 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 13, 23, 3130), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 09:13:42,982 | connection.py:139 | gRPC channel closed
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:13:42,982 | app.py:215 | Disconnect and shut down
