tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:49:39,354 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:39,372 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:39,376 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:50:24,985 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 50, 24, 985045), 'cpu_utilization': 81.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:51:37,976 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 51, 37, 975806), 'cpu_utilization': 53.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:52:20,237 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 52, 20, 236884), 'cpu_utilization': 81.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:54:06,205 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 54, 6, 205175), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:55:05,433 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 55, 5, 433638), 'cpu_utilization': 85.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:56:52,287 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 56, 52, 287644), 'cpu_utilization': 98.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:57:51,319 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 57, 51, 319055), 'cpu_utilization': 85.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:58:44,910 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 58, 44, 910286), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:59:46,788 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 59, 46, 787736), 'cpu_utilization': 84.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:01:51,456 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 1, 51, 455841), 'cpu_utilization': 53.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:02:33,886 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 2, 33, 886480), 'cpu_utilization': 82.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:04:38,761 | client.py:104 | Instance i-02ec6a8c11ae95383 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 4, 38, 761386), 'cpu_utilization': 53.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:05:19,649 | client.py:82 | Instance i-02ec6a8c11ae95383 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 5, 19, 649283), 'cpu_utilization': 85.6}
