tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:49:35,118 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:35,137 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 08:49:35,138 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:50:22,915 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 50, 22, 915522), 'cpu_utilization': 83.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:51:37,840 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 51, 37, 840272), 'cpu_utilization': 53.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:52:20,155 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 52, 20, 155256), 'cpu_utilization': 79.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:54:25,335 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 54, 25, 334964), 'cpu_utilization': 51.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:55:07,138 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 55, 7, 138721), 'cpu_utilization': 79.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:57:12,035 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 57, 12, 35583), 'cpu_utilization': 52.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:57:53,895 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 57, 53, 895245), 'cpu_utilization': 79.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:58:44,683 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 58, 44, 682881), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 08:59:46,738 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 8, 59, 46, 738007), 'cpu_utilization': 78.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:01:31,617 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 1, 31, 617058), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:02:30,636 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 2, 30, 636639), 'cpu_utilization': 85.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:04:38,955 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 4, 38, 954927), 'cpu_utilization': 51.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:05:17,734 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 5, 17, 734015), 'cpu_utilization': 85.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:06:48,475 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 6, 48, 474999), 'cpu_utilization': 98.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:07:49,980 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 7, 49, 980560), 'cpu_utilization': 79.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:09:01,045 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 9, 1, 45258), 'cpu_utilization': 51.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:09:43,160 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 9, 43, 160255), 'cpu_utilization': 78.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:11:29,658 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 11, 29, 658033), 'cpu_utilization': 51.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:12:09,133 | client.py:82 | Instance i-078923cbf4c1aeef1 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 12, 9, 133165), 'cpu_utilization': 85.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:13:42,165 | client.py:104 | Instance i-078923cbf4c1aeef1 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 9, 13, 42, 165232), 'cpu_utilization': 51.5}
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 09:13:42,990 | connection.py:139 | gRPC channel closed
tensorflow-FedAvg-run | INFO flwr 2023-12-01 09:13:42,991 | app.py:215 | Disconnect and shut down
