tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:48:49,416 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:49,432 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:49,433 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:49:16,882 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 16, 882289), 'cpu_utilization': 83.1}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:04,963 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 4, 962834), 'cpu_utilization': 97.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:47,254 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 47, 254565), 'cpu_utilization': 51.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:53:52,504 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 52, 504024), 'cpu_utilization': 53.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:54:57,334 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 54, 57, 334098), 'cpu_utilization': 51.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:56:46,566 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 46, 566592), 'cpu_utilization': 51.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:57:12,945 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 12, 945431), 'cpu_utilization': 85.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:58:58,374 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 58, 58, 373995), 'cpu_utilization': 52.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:00:03,705 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 3, 705709), 'cpu_utilization': 50.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:01:35,825 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 35, 825339), 'cpu_utilization': 98.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:02:17,967 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 2, 17, 966821), 'cpu_utilization': 51.1}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:03:44,393 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 44, 392922), 'cpu_utilization': 51.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:04:48,557 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 4, 48, 556772), 'cpu_utilization': 50.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:06:18,250 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 6, 18, 249985), 'cpu_utilization': 98.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:08:07,331 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 8, 7, 331395), 'cpu_utilization': 50.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:08:53,168 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 8, 53, 168424), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:10:17,135 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 10, 17, 135466), 'cpu_utilization': 50.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:12:05,851 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 12, 5, 850848), 'cpu_utilization': 53.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:13:09,455 | client.py:82 | Instance i-03677de65ff3a5650 : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 13, 9, 454949), 'cpu_utilization': 50.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:14:50,327 | client.py:104 | Instance i-03677de65ff3a5650 : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 14, 50, 326623), 'cpu_utilization': 98.3}
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 21:15:13,694 | connection.py:139 | gRPC channel closed
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:15:13,695 | app.py:215 | Disconnect and shut down
