tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:48:38,181 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:38,198 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:38,199 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:49:16,036 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 16, 36245), 'cpu_utilization': 82.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:50:41,938 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 50, 41, 938111), 'cpu_utilization': 97.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:30,210 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 30, 209784), 'cpu_utilization': 85.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:53:33,101 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 33, 100796), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:54:57,091 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 54, 57, 90885), 'cpu_utilization': 50.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:56:24,416 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 24, 415810), 'cpu_utilization': 51.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:57:29,314 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 29, 314738), 'cpu_utilization': 49.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:58:39,036 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 58, 39, 35887), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:00:03,806 | client.py:82 | Instance i-03b634bf46b6e923b : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 3, 806710), 'cpu_utilization': 48.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:01:31,699 | client.py:104 | Instance i-03b634bf46b6e923b : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 31, 698773), 'cpu_utilization': 51.7}
