tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:48:36,389 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:36,407 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:36,410 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:49:15,899 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 15, 898878), 'cpu_utilization': 82.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:50:41,706 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 50, 41, 705964), 'cpu_utilization': 98.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:47,437 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 47, 437562), 'cpu_utilization': 49.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:53:52,624 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 52, 624463), 'cpu_utilization': 51.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:54:39,980 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 54, 39, 980631), 'cpu_utilization': 85.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:56:04,913 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 4, 913012), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:57:29,183 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 29, 182841), 'cpu_utilization': 48.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:59:20,434 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 59, 20, 434068), 'cpu_utilization': 51.2}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:00:03,593 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 0, 3, 593195), 'cpu_utilization': 48.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:01:31,519 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 31, 519356), 'cpu_utilization': 51.3}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:02:18,179 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 2, 18, 178966), 'cpu_utilization': 48.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:03:25,050 | client.py:104 | Instance i-06bad6f8935aad0bb : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 3, 25, 49769), 'cpu_utilization': 98.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:04:55,875 | client.py:82 | Instance i-06bad6f8935aad0bb : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 4, 55, 874931), 'cpu_utilization': 85.5}
