tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:48:35,955 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:35,972 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:35,973 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:49:43,520 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 43, 519784), 'cpu_utilization': 82.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:00,582 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 0, 582387), 'cpu_utilization': 53.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:52:29,246 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 52, 29, 245844), 'cpu_utilization': 50.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:53:55,714 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 55, 713813), 'cpu_utilization': 98.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:55:22,076 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 55, 22, 75939), 'cpu_utilization': 49.6}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:56:05,528 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 5, 528041), 'cpu_utilization': 98.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:57:29,337 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 29, 337347), 'cpu_utilization': 50.0}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:58:39,664 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 58, 39, 664279), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:59:46,743 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 59, 46, 743326), 'cpu_utilization': 85.4}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:01:31,698 | client.py:104 | Instance i-085d3b3f9587c123c : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 1, 31, 698023), 'cpu_utilization': 53.5}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 21:02:18,228 | client.py:82 | Instance i-085d3b3f9587c123c : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 21, 2, 18, 227818), 'cpu_utilization': 50.4}
