tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:48:44,331 | grpc.py:49 | Opened insecure gRPC connection (no certificates were passed)
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:44,336 | connection.py:42 | ChannelConnectivity.IDLE
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:44,338 | connection.py:42 | ChannelConnectivity.CONNECTING
tensorflow-FedAvg-run | DEBUG flwr 2023-12-01 20:48:44,347 | connection.py:42 | ChannelConnectivity.READY
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:49:32,107 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 49, 32, 106940), 'cpu_utilization': 74.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:04,900 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 4, 900447), 'cpu_utilization': 97.9}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:51:47,475 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 51, 47, 475775), 'cpu_utilization': 72.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:53:52,457 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 53, 52, 457255), 'cpu_utilization': 52.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:54:57,125 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 54, 57, 125304), 'cpu_utilization': 72.8}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:56:05,548 | client.py:104 | Instance i-0ef4e20d3225463df : CPU usage history during evaluate() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 56, 5, 548137), 'cpu_utilization': 98.7}
tensorflow-FedAvg-run | INFO flwr 2023-12-01 20:57:29,315 | client.py:82 | Instance i-0ef4e20d3225463df : CPU usage history during fit() : {'timestamp': datetime.datetime(2023, 12, 1, 20, 57, 29, 315160), 'cpu_utilization': 73.1}
